Sample,ED,EL,MIR,SIR
S1 1-1,,,,
S1 1-2,0.0053575748,0.0233375484,0.0141052633,0.0092551551
S1 1-3,0.0057508287,0.0092482457,0.0102403101,0.0529124733
S1 1-4,0.0097863631,0.0341640651,0.0152170992,0.0627959141
S1 1-5,0.0021581732,0.0063265693,0.0178643274,0.0662649364
S1 2-1,0.0019259662,0.0049250545,0.0134699285,0.0533051928
S1 2-2,0.0016769054,0.0027819974,0.0140523188,0.0550724306
S1 2-3,0.0024830759,0.0093224,0.0173348818,0.047348947
S1 2-4,0.030525826,0.1164752542,0.010981534,0.0584759996
S1 2-5,0.00243626,0.0043318207,0.0144758753,0.0570360281
S1 3-1,0.0018136079,0.0023074103,0.0131522612,0.0481998392
S1 3-2,0.0018145442,0.0021071939,0.0127287046,0.0490507315
S1 3-3,0.0019746548,0.0035976939,0.0127816492,0.0457126157
S1 3-4,0.0273423418,0.0032046765,0.0137346514,0.0524543005
S1 3-5,0.0019503105,0.0015881144,0.012199259,0.0456471625
S1 4-1,0.0017508745,0.004776746,0.010981534,0.0421126869
S1 4-2,0.0016085541,0.0040352038,0.0127287046,0.046825321
S1 4-3,0.0016694148,0.0047470843,0.0112462568,0.0458435222
S1 4-4,0.0364246348,0.100902867,0.0119874807,0.0476762132
S1 4-5,0.0020373881,0.0040129575,0.0115109796,0.045516256
S1 5-1,0.0019446925,0.0060373678,0.0131522612,0.0565124021
S1 5-2,0.001787391,0.0031527685,0.0135758177,0.0559233228
S1 5-3,0.0019306478,0.003582863,0.0135228731,0.0552687903
S1 5-4,,,0.0065871351,
S1 5-5,0.0027265188,0.0383908559,0.0160642122,0.0010211362
S1 7-1,0.0020308339,0.0052735793,0.003558706,0.0556615098
S1 7-2,0.0021647275,0.0045394525,0.0148994318,0.0594577984
S1 7-3,0.0028763298,0.0061708454,0.0174407709,0.0643013389
S1 7-4,0.0604880297,0.0409120995,0.0145288198,0.0525197538
S1 7-5,0.0021169752,0.0085067035,0.0133110949,0.0555306033
S1 8-1,0.0043463504,0.0201489167,0.0148464872,0.0607668634
S1 8-2,0.002586071,0.0145873499,0.0155347666,0.0643013389
S1 8-3,0.002389444,0.0077354996,0.0145817644,0.0618795686
S1 8-4,0.0158256198,0.0598214268,0.0138405405,0.0606359569
S1 8-5,0.0051328583,0.0225960061,0.0135758177,0.0021403868
S1 9-1,0.0017461929,0.0065045394,0.0126228155,0.0007920498
S1 9-2,0.0014549978,0.0061485992,0.0146876535,0.0073570108
S1 9-3,0.0017012496,0.0036940943,0.0135758177,0.0620759284
S1 9-4,0.0285595564,0.1157337119,0.0124110372,0.0642358857
S1 9-5,0.001805181,0.0030860297,0.0102403101,0.0484616522
S1 10-1,0.0018229711,0.0040722809,0.0098696981,0.0443380975
S1 10-2,0.0016357073,0.0025743656,0.0117757025,0.0472180405
S1 10-3,0.0016918865,0.0021516865,0.013046372,0.0533051928
S1 10-4,0.0017892636,0.0022629178,0.0111403677,0.0516034083
S1 10-5,0.0188218401,0.0016845149,0.0107697557,0.0872099766
S2 1-1,0.0023519913,0.0094707084,0.0186584959,0.0629922739
S2 1-2,0.0045336142,0.0223735435,0.0160112677,0.0554651501
S2 1-3,0.0019269025,0.0096190169,0.0179702166,0.0017280313
S2 1-4,0.011518553,0.0416536418,0.0188702742,0.069537599
S2 1-5,,,,
S2 2-1,0.0033538524,0.0014019873,0.018764385,0.0675740014
S2 2-2,0.0126421356,0.004250251,0.026917848,0.0845918466
S2 2-3,0.0021965623,0.0081952558,0.0229999502,0.0839373141
S2 2-4,0.0315557767,0.1298230145,0.0171231035,0.0741193265
S2 2-5,0.0018510607,0.0045172062,0.015481822,0.0569705748
S2 3-1,0.0017789641,0.001914393,0.0127816492,0.0500979835
S2 3-2,0.0030916832,0.0077280841,0.0140523188,0.0504252498
S2 3-3,0.0025579814,0.0034271391,0.0134699285,0.0050334204
S2 3-4,0.0278105013,0.0034048929,0.0152700438,0.0556615098
S2 3-5,0.0018903861,0.0015881144,0.0160642122,0.0573632943
S2 4-1,0.0018782139,0.004969547,0.013416984,0.0463671482
S2 4-3,0.0016843959,0.0049473007,0.0129934275,0.0351746424
S2 4-4,0.0399826465,0.109801374,0.0130993166,0.0156695737
S2 4-5,0.0017986268,0.0059335519,0.0135228731,0.0023956544
S2 5-1,0.0022386967,0.0065564474,0.0147405981,0.0425708597
S2 5-2,0.0029231458,0.0401705573,0.0147935427,0.0587378126
S2 5-3,0.0018089263,0.0040500346,0.0141052633,0.0572978411
S2 5-4,0.0196645271,0.1431707749,0.0147405981,0.0976824968
S2 5-5,0.0016684785,0.0034271391,0.0149523764,0.0576251073
S2 7-1,0.0019746548,0.0054812112,0.0157994894,0.0626650076
S2 7-2,0.0029699617,0.0061115221,0.0132581503,0.0580178268
S2 7-3,0.0017836457,0.0061930917,0.0162230459,0.0675740014
S2 7-4,0.0603943979,0.0441007312,0.013046372,0.0627959141
S2 7-5,0.002063605,0.0079802085,0.0135758177,0.0589996256
S2 8-1,0.0041029075,0.0170344393,,0.069537599
S2 8-2,,,0.025700123,
S2 8-3,0.0016254078,0.011991952,0.0122522036,0.0604395971
S2 8-4,,,0.0070106916,
S2 8-5,0.0031478623,0.014290733,0.0092873079,0.0563814956
S2 9-1,0.001546757,0.0080395319,0.0025474648,0.0610941296
S2 9-2,0.0016094904,0.0059409673,0.00093795,0.0588687191
S2 9-3,0.0017948815,0.00554795,0.0010861948,0.0595232516
S2 9-4,0.0040092757,0.1246322188,0.0143699861,0.0345201099
S2 9-5,0.0017920726,0.0032046765,0.0135758177,0.047348947
S2 10-1,0.0019615463,0.0055331191,0.0156936003,0.0565778553
S2 10-2,0.0016441342,0.0028042437,0.0105579775,0.053370646
S2 10-3,0.0016207262,0.0016326069,0.0072754145,0.0335383111
S2 10-4,0.0250951766,0.0058445669,0.0116168688,0.0917917042
S2 10-5,0.00163758,0.0018921467,0.009763809,0.0519306745
