#OTU ID	75F10	72F7	41F5	12F2	84F9	52F5	74F8	94F7	24F9	93F7	53F8	54F4	102F3	105F4	51F4	83F4	21F5	91F7	23F2	92F10	95F10	55F1	104F8	22F2	71F8	85F5	103F5	82F7	73F4	25F1	101F3	31F3	81F8	45F9	44F1	14F8	43F8	42F10	15F4	11F4	32F2	34F3	13F7	35F8	33F5
174924	6.0	3.0	0.0	0.0	11.0	10.0	16.0	15.0	18.0	16.0	18.0	25.0	16.0	17.0	8.0	2.0	9.0	17.0	7.0	19.0	10.0	7.0	15.0	5.0	9.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3903651	6.0	8.0	31.0	20.0	1.0	18.0	13.0	4.0	12.0	17.0	30.0	36.0	22.0	73.0	13.0	4.0	4.0	1.0	4.0	7.0	5.0	15.0	35.0	12.0	2.0	6.0	8.0	1.0	2.0	5.0	5.0	82.0	0.0	48.0	14.0	11.0	12.0	25.0	3.0	35.0	49.0	35.0	15.0	19.0	11.0
187248	3.0	4.0	0.0	23.0	0.0	0.0	1.0	1.0	65.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	20.0	1.0	25.0	0.0	3.0	0.0	0.0	24.0	1.0	0.0	0.0	0.0	2.0	26.0	0.0	1.0	0.0	7.0	6.0	38.0	4.0	3.0	34.0	24.0	0.0	0.0	33.0	0.0	0.0
4419459	7.0	2.0	0.0	0.0	62.0	0.0	11.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	1.0	2.0	3.0	7.0	8.0	0.0	0.0	1.0	1.0	46.0	0.0	156.0	49.0	17.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0
297414	0.0	1.0	0.0	0.0	0.0	0.0	0.0	181.0	0.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	0.0	66.0	162.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4339144	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	95.0	0.0	25.0	53.0	0.0	0.0	31.0	0.0	23.0	0.0	30.0	0.0	0.0	18.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4427459	0.0	0.0	990.0	3.0	1.0	0.0	0.0	0.0	509.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	738.0	1.0	494.0	0.0	0.0	0.0	2.0	263.0	0.0	1.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	805.0	844.0	5.0	577.0	705.0	0.0	35.0	0.0	0.0	3.0	5.0	2.0
731422	0.0	3.0	0.0	0.0	0.0	0.0	0.0	544.0	0.0	483.0	0.0	1.0	2.0	5.0	0.0	0.0	1.0	419.0	0.0	430.0	821.0	1.0	3.0	0.0	1.0	2.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
730906	45.0	130.0	126.0	4.0	7.0	33.0	179.0	22.0	20.0	60.0	14.0	17.0	57.0	75.0	26.0	3.0	7.0	40.0	11.0	46.0	20.0	26.0	126.0	20.0	53.0	4.0	80.0	3.0	17.0	5.0	21.0	9.0	3.0	151.0	79.0	2.0	86.0	99.0	10.0	5.0	5.0	8.0	9.0	5.0	6.0
4306262	31.0	2.0	99.0	0.0	162.0	0.0	12.0	164.0	12.0	41.0	0.0	0.0	0.0	0.0	1.0	2184.0	65.0	191.0	30.0	348.0	9.0	0.0	0.0	10.0	1.0	650.0	0.0	281.0	5.0	11.0	0.0	0.0	31.0	1655.0	2177.0	7.0	3.0	150.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
