,1,2,3,4,5,6,7,8,9
Energie [kcal],3461.116,2298.2947,2502.7944,2274.2429,1900.8312,2502.8423,1860.2035,2572.1077,2563.772
Eiweiß [mg],129684.3,90195.0,98360.20300000001,60117.898,74078.102,91281.602,78193.898,91145.102,75640.898
    Eiweiß [mg/kg Körpergewicht],1621.0537,1048.7789,1057.6365,742.19623,1481.5619,1250.4329,953.58405,1085.0607,969.7551300000001
Kohlenhydrate [mg],453144.91,287521.31,283066.41,264588.41,251390.09,242034.09,162378.0,281629.81,304933.0
Ballaststoffe [mg],49771.602,37702.602,20258.801,11215.6,17745.1,23691.301,11016.1,16225.6,20137.4
Wasserlösliche Ballaststoffe [mg],15435.8,12267.1,8095.1001,3312.7,6986.1001,8329.5996,4155.2998,5207.5,6768.8999
Wasserunlösliche Ballaststoffe [mg],33419.801,25750.4,12656.9,8330.2998,11084.4,13819.1,6502.2998,10058.7,13144.6
Fett [mg],110285.7,83902.898,90905.29699999999,77873.602,55770.602,115891.5,97918.398,105614.2,79928.602
Gesättigte Fettsäuren [mg],49118.398,36376.602,29010.699,26745.1,26987.199,48541.5,43376.301,48848.0,35534.301
Einfach ungesättigte Fettsäuren [mg],37742.0,26883.199,35583.199,20987.801,16658.5,42466.0,32327.1,33596.5,24344.301
Mehrfach ungesättigte Fettsäuren [mg],15481.9,14313.9,18538.699,20348.4,8190.6001,16971.9,12176.2,14510.5,13524.8
Cholesterin [mg],269.29999,202.2,449.5,211.0,201.89999,557.90002,397.20001,726.0,256.60001
"Butansäure, Buttersäure [mg]",1948.1,1332.7,224.3,749.7999900000001,1108.3,1283.2,1231.3,1841.3,1041.5
Alkohol [mg],13984.4,1489.1,19781.801,32612.801,11590.2,16804.5,354.89999,15276.5,43394.0
