#OTUId,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,5-4,5-5,6-1,6-2,6-3,6-4,6-5,7-1,7-2,7-3,7-4,7-5,8-1,8-2,8-3,8-4,8-5,9-1,9-2,9-3,9-4,9-5
OTU_2,153,528,2761,950,1084,649,108,1260,118,2351,8685,2136,5529,5,1650,674,1136,2198,1862,1048,2021,0,3811,866,981,1654,1094,1297,2171,1108,1612,738,1399,2083,1141,4,107,969,0,1399,971,395,218,522,682
OTU_3,2776,1115,1563,823,1377,1583,2505,2413,1071,2099,999,409,100,11,200,8,448,6,866,1377,5162,10,2144,6897,3511,4409,7104,1481,1491,1295,972,553,874,399,2364,0,2536,2050,0,4786,5475,2877,2047,647,1091
OTU_129,295,467,2345,1195,465,3920,599,2503,639,1963,3924,1096,2340,3,1304,956,4037,1927,1859,2166,1886,2,4749,524,334,1362,830,970,2196,1186,465,162,514,670,553,0,187,658,0,919,1213,1134,1042,1466,1822
OTU_1,2740,2282,3350,6387,6904,10376,9917,7412,7306,6593,19995,7480,1966,2,8274,3075,2533,5058,3717,1540,1185,0,1262,441,2668,6616,14483,7937,7570,8258,6015,4695,8100,5993,3637,5,2040,3629,0,9685,12260,6878,5687,5855,4237
OTU_14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2464,416,181,762,321,782,0,656,1618,967,692,1203,610,349,189,477,416,545,287,480,0,1675,180,0,332,0,0,0,0,0
OTU_4,6051,3051,881,1214,1622,984,3593,2238,746,1299,2,0,6,0,0,693,266,229,808,520,838,0,843,1484,616,406,716,276,872,332,307,150,192,75,112,0,661,244,0,216,887,235,182,137,208
OTU_20,1896,1592,2755,2528,2109,17,0,0,131,449,2265,255,182,3,1226,372,313,752,434,148,1148,0,727,371,2047,122,577,344,265,168,222,141,73,582,661,0,136,321,0,287,4511,1899,1019,1207,961
OTU_28,735,507,337,724,147,1062,972,794,1334,575,1025,999,782,2,440,0,0,0,2,0,772,3,509,1090,1213,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_21,383,274,100,120,8,743,1142,1847,378,434,0,0,0,0,0,0,0,0,0,0,741,0,139,945,1160,605,984,676,353,413,162,75,95,270,357,0,452,258,0,574,0,0,0,0,0
OTU_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,712,0,412,498,481,0,0,0,0,0,61,72,25,228,168,0,0,0,0,0,0,0,0,0,0
OTU_10,158,215,890,482,255,421,173,495,77,989,2453,752,481,2,690,994,1061,5198,1461,467,835,3,2220,255,305,158,161,159,399,156,393,94,232,389,308,0,42,144,0,194,1070,1044,273,711,843
